Id,square,street,neighborhood,yearBuilt,yearSold,salePrice
1,8450,Pave,CollgCr,2003,2008,208500
2,9600,Pave,Veenker,1976,2007,181500
3,11250,Pave,CollgCr,2001,2008,223500
4,9550,Pave,Crawfor,1915,2006,140000
5,14260,Pave,NoRidge,2000,2008,250000
6,14115,Pave,Mitchel,1993,2009,143000
7,10084,Pave,Somerst,2004,2007,307000
8,10382,Pave,NWAmes,1973,2009,200000
9,6120,Pave,OldTown,1931,2008,129900
10,7420,Pave,BrkSide,1939,2008,118000
11,11200,Pave,Sawyer,1965,2008,129500
12,11924,Pave,NridgHt,2005,2006,345000
13,12968,Pave,Sawyer,1962,2008,144000
14,10652,Pave,CollgCr,2006,2007,279500
15,10920,Pave,NAmes,1960,2008,157000
16,6120,Pave,BrkSide,1929,2007,132000
17,11241,Pave,NAmes,1970,2010,149000
18,10791,Pave,Sawyer,1967,2006,90000
19,13695,Pave,SawyerW,2004,2008,159000
20,7560,Pave,NAmes,1958,2009,139000
21,14215,Pave,NridgHt,2005,2006,325300
22,7449,Pave,IDOTRR,1930,2007,139400
23,9742,Pave,CollgCr,2002,2008,230000
24,4224,Pave,MeadowV,1976,2007,129900
25,8246,Pave,Sawyer,1968,2010,154000
26,14230,Pave,NridgHt,2007,2009,256300
27,7200,Pave,NAmes,1951,2010,134800
28,11478,Pave,NridgHt,2007,2010,306000
29,16321,Pave,NAmes,1957,2006,207500
30,6324,Pave,BrkSide,1927,2008,68500
31,8500,Pave,IDOTRR,1920,2008,40000
32,8544,Pave,Sawyer,1966,2008,149350
33,11049,Pave,CollgCr,2007,2008,179900
34,10552,Pave,NAmes,1959,2010,165500
35,7313,Pave,NridgHt,2005,2007,277500
36,13418,Pave,NridgHt,2004,2006,309000
37,10859,Pave,CollgCr,1994,2009,145000
38,8532,Pave,NAmes,1954,2009,153000
39,7922,Pave,NAmes,1953,2010,109000
40,6040,Pave,Edwards,1955,2008,82000
41,8658,Pave,NAmes,1965,2006,160000
42,16905,Pave,Timber,1959,2007,170000
43,9180,Pave,SawyerW,1983,2007,144000
44,9200,Pave,CollgCr,1975,2008,130250
45,7945,Pave,NAmes,1959,2006,141000
46,7658,Pave,NridgHt,2005,2010,319900
47,12822,Pave,Mitchel,2003,2009,239686
48,11096,Pave,Somerst,2006,2007,249700
49,4456,Pave,OldTown,1920,2009,113000
50,7742,Pave,Sawyer,1966,2007,127000
51,13869,Pave,Gilbert,1997,2007,177000
52,6240,Pave,BrkSide,1934,2006,114500
53,8472,Grvl,IDOTRR,1963,2010,110000
54,50271,Pave,Veenker,1981,2006,385000
55,7134,Pave,NAmes,1955,2007,130000
56,10175,Pave,NAmes,1964,2008,180500
57,2645,Pave,Somerst,1999,2009,172500
58,11645,Pave,CollgCr,2004,2006,196500
59,13682,Pave,StoneBr,2006,2006,438780
60,7200,Pave,CollgCr,1972,2008,124900
61,13072,Pave,SawyerW,2004,2006,158000
62,7200,Pave,IDOTRR,1920,2007,101000
63,6442,Pave,NridgHt,2006,2007,202500
64,10300,Pave,OldTown,1921,2010,140000
65,9375,Pave,CollgCr,1997,2009,219500
66,9591,Pave,NridgHt,2004,2007,317000
67,19900,Pave,NAmes,1970,2010,180000
68,10665,Pave,CollgCr,2003,2007,226000
69,4608,Pave,OldTown,1945,2010,80000
70,15593,Pave,ClearCr,1953,2006,225000
71,13651,Pave,NAmes,1973,2007,244000
72,7599,Pave,Mitchel,1982,2007,129500
73,10141,Pave,Gilbert,1998,2009,185000
74,10200,Pave,NAmes,1954,2010,144900
75,5790,Pave,OldTown,1915,2010,107400
76,1596,Pave,MeadowV,1973,2009,91000
77,8475,Pave,NAmes,1956,2008,135750
78,8635,Pave,BrkSide,1948,2008,127000
